video_id,comment,author,like_count,published_at
V2_GU-0jNfw,Coyg!!!!!!!!,@mohsinali-10,0,2025-04-27T22:12:48Z
V2_GU-0jNfw,"Yesssss....
Saya sangat senang sekaliiii❤❤❤❤",@DoniDamara-l5t,1,2025-04-27T22:12:43Z
V2_GU-0jNfw,Daphine how i have loved you recently,@moptertianship4609,0,2025-04-27T22:12:42Z
V2_GU-0jNfw,Daphine can i ..... Pleaseeeee,@moptertianship4609,0,2025-04-27T22:10:43Z
V2_GU-0jNfw,"Disappointed for OL, only one goal. Congrats Arsenal.",@WeekendMuse,0,2025-04-27T22:10:12Z
V2_GU-0jNfw,COYG! <3,@x_kelly_potter_x,1,2025-04-27T22:09:35Z
V2_GU-0jNfw,I want reene to be be my wife,@moptertianship4609,0,2025-04-27T22:07:45Z
V2_GU-0jNfw,"So so proud of arsenal. Amazing come
Back. I was scared to watch … incredible. Caitlin Foord - mother big contribution. 2 open top buses down upper street. COYG",@suzannesmith9955,2,2025-04-27T22:06:28Z
V2_GU-0jNfw,Imagine Arsenal male and female team winning the champions league this year 😂 what a sweet story,@dagogopepple8260,0,2025-04-27T22:05:59Z
AtKJV6Gjzag,COYG❤,@Pwnziillaaaa,0,2025-04-28T06:56:32Z
AtKJV6Gjzag,Trop d'erreurs de l'OL. À ce niveau ça ne pardonne pas. Les buts 3 et 4 c'est cadeau.,@DavidLangenfeld-p6t,0,2025-04-28T06:42:02Z
AtKJV6Gjzag,Go go my girls ❤🎉🎉🎉🎉🎉🎉,@kennyken6887,0,2025-04-28T06:25:11Z
AtKJV6Gjzag,Pourquoi était il impossible de voir ce match hier sur la chaîne youtube alors que tous les médias annonçaient dazn en seul diffuseur de ce match en clair ?? 🤔🤔,@morganelegoff7532,0,2025-04-28T06:13:35Z
AtKJV6Gjzag,Bravo ❤️🤍,@djeudj78,0,2025-04-28T06:04:51Z
